id;user_id;language_id;content_type;title;description;content_url;thumbnail_url;metadata;is_public;created_at;updated_at;review_status;reviewed_by;reviewed_at;review_notes
c25c290b-a300-4a6c-a7ee-47c5912f05de;188866b9-b97e-41bb-bb17-37b37181129c;2828864d-2029-4727-86ae-8b31dd91decf;picture;heiii;hdjjjeer;https://prgvooggelwgnqpveicf.supabase.co/storage/v1/object/public/community-content/188866b9-b97e-41bb-bb17-37b37181129c/1759563837427.jpg;https://prgvooggelwgnqpveicf.supabase.co/storage/v1/object/public/community-content/188866b9-b97e-41bb-bb17-37b37181129c/1759563837427.jpg;{};true;2025-10-04 07:44:19.988353+00;2025-10-04 07:44:19.988353+00;pending;;;
3079df0a-617f-4db6-9214-425160ed4722;d2c369d9-80fb-405f-9f3c-fbde075a95fc;e0a7007f-0cff-48c2-8b43-cd3771210784;audio;hehe;hehe;https://prgvooggelwgnqpveicf.supabase.co/storage/v1/object/public/community-content/d2c369d9-80fb-405f-9f3c-fbde075a95fc/1759688922404.mp3;https://prgvooggelwgnqpveicf.supabase.co/storage/v1/object/public/community-content/d2c369d9-80fb-405f-9f3c-fbde075a95fc/1759689002509.jpg;{};true;2025-10-05 18:30:12.782889+00;2025-10-05 18:30:12.782889+00;pending;;;
2d8bc682-896d-4c00-bd01-7e69e081cf66;f5d5c60c-d200-4bf3-9e7b-280fe675346c;0790e63b-b213-4e47-bc0b-825b42506a79;video;Lord Perceval;Security check of Charles leclerc;https://prgvooggelwgnqpveicf.supabase.co/storage/v1/object/public/community-content/f5d5c60c-d200-4bf3-9e7b-280fe675346c/1759689204260.mp4;https://prgvooggelwgnqpveicf.supabase.co/storage/v1/object/public/community-content/f5d5c60c-d200-4bf3-9e7b-280fe675346c/1759689208430_thumbnail.jpg;{};true;2025-10-05 18:33:58.725692+00;2025-10-05 18:33:58.725692+00;pending;;;
